camera_qty,pos_x,pos_y
4,37.58004478,127.0836163
1,37.57797241,127.0930099
3,37.57725634,127.0838801
2,37.57761383,127.0884323
1,37.57952499,127.0951004
1,37.57810974,127.0858154
2,37.5772004,127.0806113
1,37.57691574,127.0812912
1,37.578125,127.0842819
2,37.577034,127.0898361
2,37.5793664,127.0837758
2,37.58060837,127.0839081
4,37.57801056,127.0922012
3,37.57961273,127.0891647
2,37.57774353,127.0842361
4,37.57678604,127.0852051
2,37.57869339,127.0894699
2,37.57852173,127.0837479
4,37.57868195,127.0863342
1,37.58885904,127.0997583
1,37.58906937,127.0991898
2,37.58200011,127.0915678
2,37.581707,127.0883102
4,37.58328247,127.0869064
3,37.58890492,127.0979823
2,37.58823395,127.0953064
1,37.58802487,127.100125
1,37.58322144,127.0923691
1,37.5820694,127.0848236
4,37.58291228,127.0894084
1,37.58712725,127.1003274
1,37.5877037,127.0966644
3,37.58336416,127.0906304
3,37.58359528,127.0952072
3,37.5839119,127.0850525
4,37.58239365,127.0854721
4,37.58185959,127.0942612
1,37.58270367,127.0880061
3,37.58121571,127.0852804
5,37.58972168,127.0960236
3,37.58223278,127.0880349
4,37.58182081,127.0867135
1,37.58932257,127.0945565
1,37.58168793,127.0904465
3,37.58219879,127.0892358
1,37.58840312,127.1015535
1,37.58900042,127.1021018
2,37.5982132,127.086174
2,37.59888458,127.0856857
2,37.59963989,127.0857391
3,37.59682083,127.0836334
3,37.5978241,127.0867615
1,37.59922028,127.0862198
2,37.60101668,127.0868236
2,37.59991455,127.088562
2,37.60219574,127.0927429
2,37.60174942,127.0934067
2,37.60387421,127.0874786
2,37.6000824,127.0878448
3,37.60207748,127.0875549
4,37.60569382,127.0927429
2,37.60328674,127.0932465
2,37.59498505,127.0850017
3,37.59307982,127.0824238
5,37.59270096,127.0747528
3,37.59457017,127.0921061
4,37.59415158,127.0894051
4,37.59466792,127.0900529
5,37.59301758,127.0849762
4,37.5940782,127.0817626
3,37.59370041,127.0853653
3,37.59444046,127.0810623
3,37.59279672,127.0836989
3,37.59227371,127.0815125
1,37.59209061,127.082016
2,37.59289169,127.0814972
3,37.59314731,127.084235
4,37.59501114,127.0828974
4,37.59505463,127.0880356
4,37.5935936,127.0881577
5,37.59577942,127.0881729
3,37.59408058,127.0796319
5,37.5929184,127.0782166
4,37.59520275,127.089267
2,37.59434201,127.0882678
3,37.59455835,127.0867817
4,37.59535356,127.0842558
1,37.59475327,127.0819702
3,37.5934805,127.0749782
1,37.5933609,127.0810013
