,id,station_name,station_line,area,rent,lease,pos_x,pos_y
0,026a8278-677e-4ef3-9767-f2fec8084fc1,증산,6호선,,2.865,3.966,37.583876,126.909645
1,06bf0945-8eff-4869-97bc-73b63fcbb512,고덕,5호선,,3.936,8.229,37.555004,127.154151
2,0992fe33-4fbc-4740-97b2-80618bdedbb7,을지로입구,2호선,,3.865,6.532,37.566014,126.982618
3,0ba5b63c-6127-4716-93f1-f74d4757a79a,약수,3호선,,3.793,5.863,37.55434,127.010655
4,0ba5c5f3-4170-435e-8bbd-11526f0e8b2e,미아,4호선,,2.067,3.179,37.62667,127.025983
5,0c356577-eb7e-4bfa-9939-e113a3ec3a13,상일동,5호선,,2.858,3.036,37.556712,127.166417
6,0d047f23-bf01-4b8a-9bb5-6f335bf8d485,미아사거리,4호선,,2.425,2.552,37.613292,127.030053
7,0d636643-6b21-4d93-aa9b-f668aef5b09c,선릉,2호선,,4.081,6.578,37.504503,127.049008
8,0d6e3785-1b77-4a52-a1e0-26e01485c822,신금호,5호선,,2.287,3.075,37.554548,127.020331
9,0d94da9c-6ded-4efa-9aae-806e5316a999,아현,2호선,,4.276,3.967,37.557345,126.956141
10,0e8eebbe-61ec-454e-82bb-2860d8e72773,논현,7호선,,4.034,7.133,37.511093,127.021415
11,0f97704e-83d0-4352-9840-77536c2bdc51,제기동,1호선,,3.218,6.288,37.578103,127.034893
12,10aef9c1-a9ba-4ec4-9cf1-167e319bbbc8,학동,7호선,,4.211,6.954,37.514229,127.031656
13,11ff0e65-2cb3-406c-93ba-fac175d2ce6e,신당,6호선,,4.144,7.213,37.565972,127.01782
14,137b4db9-e03b-4ca1-9ab0-89a13ad0881e,남구로,7호선,,2.02,3.351,37.486056,126.887249
15,149ea381-f175-487d-8aad-585d2c352140,신길,1호선,,4.519,8.811,37.517122,126.917169
16,15ff9887-cce4-4c0e-8648-5fa2821a71e8,방학,1호선,,3.285,5.381,37.667503,127.044273
17,16727566-c0c1-40f3-9772-7a64420b7e1e,동대문,4호선,,1.765,3.269,37.57142,127.009745
18,1689e7ef-e3e9-408d-84be-dac7817ebdc9,마들,7호선,,2.071,3.417,37.66494,127.057675
19,172f6e66-0479-4330-86c0-1acd94f3802a,역촌,6호선,,3.068,4.542,37.606021,126.922744
20,172f94fe-3b98-4713-aa3e-57d1c7de7074,길동,5호선,,3.648,7.948,37.537801,127.140004
21,1a348779-8c81-484c-929f-e5117fb90268,용마산,7호선,,3.62,5.287,37.573647,127.086727
22,1b5dece9-e208-495d-87cd-a63932075835,신당,2호선,,4.144,7.213,37.565972,127.01782
23,1b774074-840c-41b0-aa1b-4917f7286dbb,구로디지털단지,2호선,,3.48,6.17,37.485266,126.901401
24,1bca84cf-90d2-43e0-ae33-daf565e5dae9,금호,3호선,,2.026,3.731,37.548034,127.015872
25,1bd9c9d1-5ec9-48dc-bc0c-9d8c85bd4f5b,망원,6호선,,3.477,6.197,37.556094,126.910052
26,1c0004dd-547a-4346-b068-6187b19471a0,상계,4호선,,1.941,3.597,37.660878,127.073572
27,1e08faa9-67e6-401c-b42e-f0127bbf3629,복정,8호선,,2.451,4.656,37.470047,127.126662
28,1ecd895b-e6fd-4690-86f1-1facef6c9548,대림,7호선,,3.298,5.969,37.49297,126.895801
29,1f004e53-2586-488f-a855-e992e741ea36,가락시장,8호선,,3.416,6.108,37.492522,127.118234
30,1fa08f05-2652-4a71-8112-61f8bb4a294d,문래,2호선,,2.737,5.227,37.517933,126.89476
31,1fb30644-5ff7-4fcc-9fc8-94208e340230,공덕,6호선,,3.473,6.652,37.544018,126.951592
32,21092209-15ae-46ef-825b-b21ccb8c5e92,서울,1호선,,3.246,4.604,37.554648,126.972559
33,2112e422-61b5-43f5-a434-2f6c2b83c431,동대문,1호선,,1.765,3.269,37.57142,127.009745
34,23683251-e58a-406e-84e3-402c511f2d1f,잠원,3호선,,3.113,0.0,37.512759,127.01122
35,23ab6f41-f225-4144-bcd2-91547697807a,불광,3호선,,3.183,4.91,37.610469,126.929887
36,23c25191-c5f4-4873-a794-bac144c6f6f9,신도림,1호선,,3.477,5.151,37.508725,126.891295
37,24074727-129d-47b4-b592-4cd30110b9a3,문정,8호선,,3.917,5.803,37.485855,127.1225
38,264ea7c2-dd55-4fe5-a0be-41eca469ea01,양재,3호선,,4.53,7.273,37.484147,127.034631
39,28e944df-ca1f-4946-8009-175051620b3b,창동,4호선,,2.188,3.998,37.653166,127.047731
40,29ec0743-addb-47f1-a933-1561c8e653e2,왕십리,5호선,,4.363,8.21,37.561533,127.037732
41,2a25e146-9fde-4702-8409-9842ce523a89,강남구청,7호선,,3.959,9.38,37.517186,127.04128
42,2bdd5cd1-3408-43bc-9a4d-eccc53b86759,녹천,1호선,,1.952,3.702,37.644799,127.051269
